2024-05-27 12:45:53,881 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2024-05-27 12:45:55,267 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2024-05-27 12:47:14,949 WARN  [AbstractConnectionFactory#185] [SOFA-CLI-CONN-com.alipay.sofa.rpc.samples.annotation.AnnotationService-3-T1] [client side] bolt netty low water mark is 32768 bytes, high water mark is 65536 bytes
2024-05-27 13:12:42,413 INFO  [Connection$1#308] [bolt-netty-client-worker-1-thread-1] Close the connection to remote address=10.138.6.95:12200, result=true, cause=null
2024-05-27 13:12:42,418 WARN  [DefaultConnectionManager#342] [bolt-netty-client-worker-1-thread-1] Remove and close the last connection in ConnectionPool with poolKey 10.138.6.95:12200
2024-05-27 14:14:16,803 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2024-05-27 14:14:18,189 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2024-05-27 14:30:26,351 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2024-05-27 14:30:27,664 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2024-05-27 14:30:51,822 WARN  [AbstractConnectionFactory#185] [SOFA-CLI-CONN-com.alipay.sofa.rpc.samples.annotation.AnnotationService-3-T1] [client side] bolt netty low water mark is 32768 bytes, high water mark is 65536 bytes
2024-05-27 14:34:08,757 INFO  [Connection$1#308] [bolt-netty-client-worker-1-thread-1] Close the connection to remote address=10.138.6.95:12200, result=true, cause=null
2024-05-27 14:34:08,758 WARN  [DefaultConnectionManager#342] [bolt-netty-client-worker-1-thread-1] Remove and close the last connection in ConnectionPool with poolKey 10.138.6.95:12200
2024-05-27 14:34:14,477 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2024-05-27 14:34:15,807 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2024-05-27 14:34:31,928 INFO  [Connection$1#308] [bolt-netty-client-worker-1-thread-2] Close the connection to remote address=10.138.6.95:12200, result=true, cause=null
2024-05-27 14:34:31,928 WARN  [DefaultConnectionManager#342] [bolt-netty-client-worker-1-thread-2] Remove and close the last connection in ConnectionPool with poolKey 10.138.6.95:12200
2024-05-27 14:34:46,306 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2024-05-27 14:34:47,633 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2024-05-27 14:35:08,329 WARN  [AbstractConnectionFactory#185] [SOFA-CLI-CONN-com.alipay.sofa.rpc.samples.annotation.AnnotationService-3-T1] [client side] bolt netty low water mark is 32768 bytes, high water mark is 65536 bytes
2024-05-27 14:36:10,507 INFO  [Connection$1#308] [bolt-netty-client-worker-1-thread-1] Close the connection to remote address=10.138.6.95:12200, result=true, cause=null
2024-05-27 14:36:10,510 WARN  [DefaultConnectionManager#342] [bolt-netty-client-worker-1-thread-1] Remove and close the last connection in ConnectionPool with poolKey 10.138.6.95:12200
2024-05-27 14:36:19,673 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2024-05-27 14:36:19,800 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2024-05-27 14:36:39,207 WARN  [AbstractConnectionFactory#185] [SOFA-CLI-CONN-com.alipay.sofa.rpc.samples.annotation.AnnotationService-3-T1] [client side] bolt netty low water mark is 32768 bytes, high water mark is 65536 bytes
2024-05-27 14:36:39,563 INFO  [Connection$1#308] [bolt-netty-client-worker-1-thread-1] Close the connection to remote address=10.138.6.95:12200, result=true, cause=null
2024-05-27 14:36:39,575 WARN  [DefaultConnectionManager#342] [bolt-netty-client-worker-1-thread-1] Remove and close the last connection in ConnectionPool with poolKey 10.138.6.95:12200
2024-05-27 14:37:22,936 WARN  [AbstractConnectionFactory#185] [SOFA-CLI-CONN-com.alipay.sofa.rpc.samples.annotation.AnnotationService-3-T1] [client side] bolt netty low water mark is 32768 bytes, high water mark is 65536 bytes
2024-05-27 14:43:52,751 INFO  [Connection$1#308] [bolt-netty-client-worker-1-thread-1] Close the connection to remote address=10.138.6.95:12200, result=true, cause=null
2024-05-27 14:43:52,754 WARN  [DefaultConnectionManager#342] [bolt-netty-client-worker-1-thread-1] Remove and close the last connection in ConnectionPool with poolKey 10.138.6.95:12200
2024-05-27 14:44:08,722 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2024-05-27 14:44:08,850 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2024-05-27 14:44:30,420 WARN  [AbstractConnectionFactory#185] [SOFA-CLI-CONN-com.alipay.sofa.rpc.samples.annotation.AnnotationService-3-T1] [client side] bolt netty low water mark is 32768 bytes, high water mark is 65536 bytes
2024-05-27 14:48:22,548 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2024-05-27 14:48:22,697 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2024-05-27 14:48:43,680 WARN  [AbstractConnectionFactory#185] [SOFA-CLI-CONN-com.alipay.sofa.rpc.samples.annotation.AnnotationService-3-T1] [client side] bolt netty low water mark is 32768 bytes, high water mark is 65536 bytes
2024-05-27 14:51:24,059 INFO  [Connection$1#308] [bolt-netty-client-worker-1-thread-1] Close the connection to remote address=10.138.6.95:12200, result=true, cause=null
2024-05-27 14:51:24,060 WARN  [DefaultConnectionManager#342] [bolt-netty-client-worker-1-thread-1] Remove and close the last connection in ConnectionPool with poolKey 10.138.6.95:12200
2024-05-27 14:51:30,590 WARN  [AbstractConnectionFactory#217] [SOFA-CLI-RC-com.alipay.sofa.rpc.samples.annotation.AnnotationService-2-T1] Create connection to 10.138.6.95:12200 error!
2024-05-27 14:51:32,642 WARN  [AbstractConnectionFactory#217] [SOFA-CLI-RC-com.alipay.sofa.rpc.samples.annotation.AnnotationService-2-T1] Create connection to 10.138.6.95:12200 error!
2024-05-27 14:51:33,822 INFO  [DefaultConnectionManager#444] [RpcTaskScannerThread-2-thread-1] task(poolKey=10.138.6.95:12200) is not done, do not scan the connection pool
2024-05-27 14:56:02,490 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2024-05-27 14:56:02,620 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2024-05-27 14:56:51,559 WARN  [AbstractConnectionFactory#185] [SOFA-CLI-CONN-com.alipay.sofa.rpc.samples.annotation.AnnotationService-3-T1] [client side] bolt netty low water mark is 32768 bytes, high water mark is 65536 bytes
